name,glass-size (oz),category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz).1
vodka stinger,6,vodka,1 oz,vodka,1 oz,white creme de menthe,,,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
caruso,6,cocktail classics,1 1/2 oz,gin,1 oz,dry vermouth,1/2 oz,green creme de menthe,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
bulldog highball,7,cocktail classics,1/2 oz,orange juice,2 oz,gin,,ginger ale,,,,,,,,pour into highball glass over ice cubes and fill with ginger ale. stir.,highball glass,7
brown cocktail,6,cocktail classics,3/4 oz,gin,3/4 oz,light rum,3/4 oz,dry vermouth,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
bronx terrace cocktail,6,cocktail classics,1 1/2 oz,gin,1 1/2 oz,dry vermouth,1/2 oz,lime juice,,,,,,,cherry,shake with  ice and strain into cocktail glass. garnish with a cherry.,cocktail glass,6
bronx cocktail (dry),6,cocktail classics,1 oz,gin,1 oz,dry vermouth,1/4 oz,orange juice,,,,,,,orange slice,shake with ice and strain into cocktail glass. garnish with an orange slice.,cocktail glass,6
hill dog,6,whiskies,1 1/2 oz,white whiskey,1/2 oz,grand marnier,1/2 oz,dry sherry,1/2 oz,lavender syrup,,,,,orange twist,stir with ice and strain into chilled cocktail glass. garnish with an orange twist.,cocktail glass,6
blue devil cocktail,6,cocktail classics,1 oz,gin,1/2 or 1,juice of lemon or lime,1 oz,maraschino,1/2 oz,blue curacao,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
blue canary,6,cocktail classics,3/4 oz,gin,3 oz,grapefruit juice,1 oz,blue curacao,,,,,,,mint,combine ingredients with ice in mixing glass and stir gently. strain into chilled cocktail glass filled with crushed ice. garnish with a mint sprig.,cocktail glass,6
blue bird,6,cocktail classics,1 1/2 oz,gin,1/2 oz,triple sec,1 oz,bitters,,,,,,,"lemon twist, cherry",stir with ice cubes and strain into cocktail glass. garnish with a lemon twist and a cherry.,cocktail glass,6
bloodhound cocktail,6,cocktail classics,1/2 oz,dry vermouth,1/2 oz,sweet vermouth,1 oz,gin,,,,,,,strawberry,shake with ice and strain into cocktail glass. garnish with two or three crushed strawberries.,cocktail glass,6
billy taylor,14,cocktail classics,1/2 oz,lime juice,2 oz,gin,,club soda,,,,,,,,fill collins glass with club soda and ice cubes. stir in lime juice and gin.,collins glass,14
bijou cocktail,6,cocktail classics,3/4 oz,gin,3/4 oz,green chartreuse,3/4 oz,sweet vermouth,1 oz,orange bitters,,,,,cherry,stir with ice and strain into cocktail glass. garnish with a cherry.,cocktail glass,6
bermuda rose,6,cocktail classics,1 1/4 oz,gin,1 1/2 oz,apricot flavored brandy,1 1/2 oz,grenadine,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
vodka sour,6,vodka,2 oz,vodka,2 oz,vodka,3/4 oz,lemon juice,3/4 oz,simple syrup,,,,,"lemon slice, cherry",shake with ice and strain into chilled cocktail glass. garnish with a lemon slice and a cherry.,cocktail glass,6
apricot anisette collins,14,cocktail classics,1 1/2 oz,gin,1/2 oz,apricot flavored brandy,1 1/2 oz,anisette,1 oz,lemon juice,club soda,,,,lemon slice,shake with ice and strain into collins glass over ice. fill with club soda and stir lightly. garnish with a lemon slice.,collins glass,14
alexander's sister cocktail,6,cocktail classics,1 oz,dry gin,1 oz,green creme de menthe,1 oz,light cream,,,,,,,nutmeg,shake with ice and strain into cocktail glass. top with nutmeg.,cocktail glass,6
highland cooler,14,whiskies,2 oz,blended scotch whiskey,1/2 oz,simple syrup,,soda water or ginger ale,,,,,,,"orange twist, lemon twist",stir scotch and syrup in collins glass. add ice. fill with soda and stir again. garnish with an orange twist or a lemon twist.,collins glass,14
alexander cocktail no. 1,6,cocktail classics,1 oz,gin,1 oz,creme de cacao (white),1 oz,light cream,,,,,,,nutmeg,shake with ice and strain into cocktail glass. top with nutmeg.,cocktail glass,6
adam and eve,6,cocktail classics,1 oz,forbidden fruit,1 oz,gin,1 oz,brandy,1 oz,lemon juice,,,,,,shake well with cracked ice and strain into cocktail glass.,cocktail glass,6
vodka sling,6,vodka,2 oz,vodka,1 oz,lemon juice,1/2 oz,simple syrup,,,,,,,orange twist,"pour vodka, lemon juice, and syrup into ice-filled old-fashioned glass and stir. garnish with an orange twist.",old-fashioned glass,6
jack rose cocktail,6,brandy,1 1/2 oz,applejack,1/2 oz,lime juice,1/4 oz,grenadine,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
tempter cocktail,6,cocktail classics,1 oz,port,1 oz,apricot flavored brandy,,,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
special rough cocktail,6,cocktail classics,1 1/2 oz,apple brandy,1 1/2 oz,brandy,1/2 oz,anisette,,,,,,,,stir with ice and strain into cocktail glass.,cocktail glass,6
vodka grasshopper,6,vodka,3/4 oz,vodka,3/4 oz,green creme de menthe,3/4 oz,white creme de cacao,3/4 oz,half-and-half,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
singapore sling,14,cocktail classics,1/2 oz,lemon juice,1 oz,powdered sugar,2 oz,gin,,club soda,1/2 oz,cherry-flavored brandy,,,pineapple slice,"shake lemon, sugar, and gin with ice and strain into collins glass. add ice cubes and fill with club soda. top with cherry-flavored brandy. garnish with pineapple slice and serve with straws.",collins glass,14
saratoga cocktail,6,cocktail classics,2 oz,brandy,2 oz,bitters,1 oz,lemon juice,1 oz,pineapple juice,1/2 oz,maraschino,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
high cotton,6,whiskies,2 oz,straight rye whiskey,1/2 oz,pimm's no. 1 cup,1/2 oz,dubonnet rouge,2 oz,peach bitters,,,,,"lemon slice, mint",stir with ice and strain into chilled cocktail glass. garnish with a lemon slice and mint.,cocktail glass,6
polonaise,6,cocktail classics,1 1/2 oz,brandy,1 oz,blackberry-flavored brandy,1/2 oz,dry sherry,1 oz,lemon juice,,,,,,shake with ice and strain into old-fashioned glass over ice cubes.,old-fashioned glass,6
vodka gimlet,6,vodka,1 1/2 oz,vodka,1 oz,lime juice,1/2 oz,simple syrup,,,,,,,,shake with ice and strain into chilled cocktail glass.,cocktail glass,6
merry widow cocktail no. 2,6,cocktail classics,1 1/4 oz,maraschino,1 1/4 oz,cherry-flavored brandy,,,,,,,,,cherry,stir with ice and strain into cocktail glass. serve with a cherry.,cocktail glass,6
lugger,6,cocktail classics,1 oz,brandy,1 oz,apple brandy,1 oz,apricot flavored brandy,,,,,,,,shake with ice and strain into cocktail glass.,cocktail glass,6
jamaica hop,6,cocktail classics,1 oz,coffee-flavored brandy,1 oz,creme de cacao (white),1 oz,light cream,,,,,,,,shake well with ice and strain into cocktail glass.,cocktail glass,6
